baselinetemp,species,mindaysmaturity
32,Wheat (hard red),2800-3029
32,Barley,2316-2771
32,Oat,2701-3160
32,Canary Seed,2447-2795
32,Flax,2917-3273
32,Canola (B. rapa),2280-2519
32,Mustard (S. juncea),2748-2930
32,Chickpea,3054-3277
32,Lentil,3164-3408
32,Sunflower,3236-3581
40,Wheat (Indiana),2100-2400
40,Broccoli from starts,1623-1702
40,Cabbage,1623-1702
40,Cauliflower,1623-1702
50,Sorghum,1690-1944
50,Soybeans,1679-1992
50,Cucumber,682-952
50,Sweet corn,1134-1522
50,Tomatoes,1700 +
